,0,1,2,3,4,5,6,7,8,9,10,11
79,b744ddf5-99d5-4131-b552-0889014c247c,8720387440405,NEW,NEW,,18.00,VVB,1,false,FBR,2021-12-28 14:45:28.085356 UTC,ThongGrn2XL
80,f42660c1-db63-4f06-8342-45f25a8f1742,8720387440627,NEW,NEW,,63.45,VVB,2,false,FBR,2022-01-25 10:36:20.767405 UTC,SportivePackS
81,78a53b2f-cb07-4145-b3ad-2bc254802a81,8720387440580,NEW,NEW,,63.00,VVB,0,false,FBR,2021-12-27 15:25:39.037782 UTC,EssentialPackM
82,d82ac05d-a1bc-4b6b-b379-d04d95c5b24e,8720387440122,NEW,NEW,,23.50,VVB,11,false,FBR,2022-01-25 10:30:20.626573 UTC,9128BckM
83,c4f285b5-bffb-4eee-9f74-804a1f3450ce,8720387440603,NEW,NEW,,63.00,VVB,0,false,FBR,2021-12-27 15:25:39.225709 UTC,EssentialPackXL
84,474e9199-971a-4025-8708-524e99ecb337,8720387440368,NEW,NEW,,18.00,VVB,3,false,FBR,2021-12-27 15:25:39.316278 UTC,ThongGrnS
85,449b3e36-1b61-493d-a04a-bb9580aca519,8720387440160,NEW,NEW,,23.50,VVB,5,false,FBR,2022-01-25 10:30:41.485011 UTC,9128GrnS
86,c98f5767-a5be-4b5a-a965-2e1b03d29bfe,8720387440689,NEW,NEW,,80.50,VVB,2,true,FBR,2021-12-27 15:25:38.853801 UTC,WeeklyPackM
87,39dd10b6-1db0-416a-a086-24bb77f8f302,8720387440245,NEW,NEW,,23.50,VVB,3,false,FBR,2022-01-25 10:30:46.642431 UTC,9128RdXL
88,92b76edf-5b9a-48b5-b80a-9150ca9fe980,8720387440849,NEW,NEW,,62.50,VVB,2,false,FBR,2022-01-10 19:31:00.041974 UTC,ElegantPackL
89,94e9fac3-a50c-4c8e-9bd3-8f5b62ad82a5,8720387440238,NEW,NEW,,23.50,VVB,5,false,FBR,2022-01-25 10:30:31.736743 UTC,9128RdL
90,361c7f6a-c4e0-4367-83fc-29e13dd7d705,8720387440009,NEW,NEW,,18.85,VVB,15,false,FBR,2022-01-23 09:41:31.184158 UTC,DL-0001
91,510e40f6-5536-422e-9788-767067bbac99,8720387440252,NEW,NEW,,23.50,VVB,2,false,FBR,2022-01-25 10:30:51.929439 UTC,9128Rd2XL
92,71185bc2-cafa-4ce4-9559-7a1fb2491951,8720387440443,NEW,NEW,,18.00,VVB,1,false,FBR,2022-01-06 15:39:23.303264 UTC,ThongRdXL
93,05edae31-d66c-4e2f-a7e7-994ac679b9bd,8720387440061,NEW,NEW,,16.00,VVB,2,false,FBR,2021-12-27 15:25:38.823623 UTC,GoudSterMaan
94,,,,,,,,,,,,
