EAN	Product code	Supplier SKU	Color	Size	Description	Link
8720387440481	ShortBckL	9091	Black	L	Bnatural Period Menstrual Shorts L 80 Gram	https://www.alibaba.com/product-detail/Reusable-4-Layers-Leak-Proof-Elastic_1600134265387.html?spm=a2756.order-detail-ta-ta-b.0.0.1e6c2fc2Rox56z
8720387440498	ShortBckXL	9091	Black	XL	Bnatural Period Menstrual Shorts XL 80 Gram	https://www.alibaba.com/product-detail/Reusable-4-Layers-Leak-Proof-Elastic_1600134265387.html?spm=a2756.order-detail-ta-ta-b.0.0.1e6c2fc2Rox56z
8720387440504	ShortBck2XL	9091	Black	2XL	Bnatural Period Menstrual Shorts 2XL 80 Gram	https://www.alibaba.com/product-detail/Reusable-4-Layers-Leak-Proof-Elastic_1600134265387.html?spm=a2756.order-detail-ta-ta-b.0.0.1e6c2fc2Rox56z
8720387440511	LeopardS	9188	Leopard	S	Bnatural Period Menstrual Leopard S 40 Gram	https://www.alibaba.com/product-detail/Sexy-Leopard-Print-Underwear-4-Layers_1600071033150.html?spm=a2756.order-detail-ta-ta-b.0.0.1e6c2fc2Rox56z
8720387440528	LeopardM	9188	Leopard	M	Bnatural Period Menstrual Leopard M 40 Gram	https://www.alibaba.com/product-detail/Sexy-Leopard-Print-Underwear-4-Layers_1600071033150.html?spm=a2756.order-detail-ta-ta-b.0.0.1e6c2fc2Rox56z
8720387440535	LeopardL	9188	Leopard	L	Bnatural Period Menstrual Leopard L 40 Gram	https://www.alibaba.com/product-detail/Sexy-Leopard-Print-Underwear-4-Layers_1600071033150.html?spm=a2756.order-detail-ta-ta-b.0.0.1e6c2fc2Rox56z
8720387440542	LeopardXL	9188	Leopard	XL	Bnatural Period Menstrual Leopard XL 40 Gram	https://www.alibaba.com/product-detail/Sexy-Leopard-Print-Underwear-4-Layers_1600071033150.html?spm=a2756.order-detail-ta-ta-b.0.0.1e6c2fc2Rox56z
8720387440559	Leopard2XL	9188	Leopard	2XL	Bnatural Period Menstrual Leopard 2XL 40 Gram	https://www.alibaba.com/product-detail/Sexy-Leopard-Print-Underwear-4-Layers_1600071033150.html?spm=a2756.order-detail-ta-ta-b.0.0.1e6c2fc2Rox56z
8720387440566	Washingbag		N/A	N/A		
8720387440573	EssentialPackS			S	Bnatural Essential pack S - period underwear	
8720387440580	EssentialPackM			M	Bnatural Essential pack M - period underwear	
8720387440597	EssentialPackL			L	Bnatural Essential pack L - period underwear	
8720387440603	EssentialPackXL			XL	Bnatural Essential pack XL - period underwear	
8720387440610	EssentialPackXXL			XXL	Bnatural Essential pack XXL period underwear	
8720387440627	SportivePackS			S	Bnatural Sportive pack S period underwear	
8720387440634	SportivePackM			M	Bnatural Sportive pack M period underwear	
8720387440641	SportivePackL			L	Bnatural Sportive pack L period underwear	
8720387440658	SportivePackXL			XL	Bnatural Sportive pack XL period underwear	
8720387440665	SportivePackXXL			XXL	Bnatural Sportive pack XXL period underwear	
8720387440672	WeeklyPackS			S	Bnatural Weekly pack S, 4 period underwear	
8720387440689	WeeklyPackM			M	Bnatural Weekly pack M, 4 period underwear	
8720387440696	WeeklyPackL			L	Bnatural Weekly pack L, 4 period underwear	
8720387440702	WeeklyPackXL			XL	Bnatural Weekly pack XL, 4 period underwear	
8720387440719	WeeklyPackXXL			XXL	Bnatural Weekly pack XXL, 4 period underwear	
