GS1 Artikelcode (GTIN);Status;Productclassificatie;Gaat naar de consument;Verpakkings type;Landen of Regio's;Productomschrijving (max 35 tekens);Taal van productomschrijving;Merk;Submerk;Netto inhoud;Eenheid;Afbeelding (max 500 tekens);Bron;
8720387440139;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Global Market;Period Menstrual Underwear Black L;Engels;Bnatural;;40;Gram;;MijnGS1;
8720387440139;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;België;;;Bnatural;;;;;MijnGS1;
8720387440139;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Europese Unie;;;Bnatural;;;;;MijnGS1;
8720387440139;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Frankrijk;;;Bnatural;;;;;MijnGS1;
8720387440139;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Duitsland;;;Bnatural;;;;;MijnGS1;
8720387440139;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Nederland;;;Bnatural;;;;;MijnGS1;
8720387440139;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Spanje;;;Bnatural;;;;;MijnGS1;
8720387440146;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Global Market;Period Menstrual Underwear Black XL;Engels;Bnatural;;40;Gram;;MijnGS1;
8720387440146;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;België;;;Bnatural;;;;;MijnGS1;
8720387440146;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Europese Unie;;;Bnatural;;;;;MijnGS1;
8720387440146;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Frankrijk;;;Bnatural;;;;;MijnGS1;
8720387440146;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Duitsland;;;Bnatural;;;;;MijnGS1;
8720387440146;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Nederland;;;Bnatural;;;;;MijnGS1;
8720387440146;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Spanje;;;Bnatural;;;;;MijnGS1;
8720387440153;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Global Market;Period Menstrual Panties Black 2XL;Engels;Bnatural;;40;Gram;;MijnGS1;
8720387440153;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;België;;;Bnatural;;;;;MijnGS1;
8720387440153;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Europese Unie;;;Bnatural;;;;;MijnGS1;
8720387440153;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Frankrijk;;;Bnatural;;;;;MijnGS1;
8720387440153;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Duitsland;;;Bnatural;;;;;MijnGS1;
8720387440153;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Nederland;;;Bnatural;;;;;MijnGS1;
8720387440153;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Spanje;;;Bnatural;;;;;MijnGS1;
8720387440160;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Global Market;Period Menstrual Panties Green S;Engels;Bnatural;;40;Gram;;MijnGS1;
8720387440160;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;België;;;Bnatural;;;;;MijnGS1;
8720387440160;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Europese Unie;;;Bnatural;;;;;MijnGS1;
8720387440160;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Frankrijk;;;Bnatural;;;;;MijnGS1;
8720387440160;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Duitsland;;;Bnatural;;;;;MijnGS1;
8720387440160;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Nederland;;;Bnatural;;;;;MijnGS1;
8720387440177;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Global Market;Period Menstrual Panties Green M;Engels;Bnatural;;40;Gram;;MijnGS1;
8720387440177;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;België;;;Bnatural;;;;;MijnGS1;
8720387440177;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Europese Unie;;;Bnatural;;;;;MijnGS1;
8720387440177;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Frankrijk;;;Bnatural;;;;;MijnGS1;
8720387440177;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Duitsland;;;Bnatural;;;;;MijnGS1;
8720387440177;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Nederland;;;Bnatural;;;;;MijnGS1;
8720387440177;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Spanje;;;Bnatural;;;;;MijnGS1;
8720387440184;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Global Market;Period Menstrual Panties Green L;Engels;Bnatural;;40;Gram;;MijnGS1;
8720387440184;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;België;;;Bnatural;;;;;MijnGS1;
8720387440184;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Europese Unie;;;Bnatural;;;;;MijnGS1;
8720387440184;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Frankrijk;;;Bnatural;;;;;MijnGS1;
8720387440184;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Duitsland;;;Bnatural;;;;;MijnGS1;
8720387440184;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Nederland;;;Bnatural;;;;;MijnGS1;
8720387440184;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Spanje;;;Bnatural;;;;;MijnGS1;
8720387440191;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Global Market;Period Menstrual Panties Green XL;Engels;Bnatural;;40;Gram;;MijnGS1;
8720387440191;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;België;;;Bnatural;;;;;MijnGS1;
8720387440191;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Europese Unie;;;Bnatural;;;;;MijnGS1;
