Type;Type productidentificatie;Productidentificatie;Artikelomschrijving;Datum;Bestelnummer;Aantal;"Tarief-
groep";Tarief;Bedrag;BTW %;Btw-bedrag;"Bedrag
(incl. BTW)";Land van verzending;Reden;Opmerking
Verkoopprijs artikel(en), ontvangen van kopers en door bol.com door te storten;EAN;8720387440023;Among US Knuffel | Plushie |  Among Us Knuffel |Plushie| Blauw | Among Us Plushie | Among Us | Cadeau | Gift | Knuffel |10 cm | Crewmate Imposter  |10cm;15-12-2020;1173621830;1;;€19,850000;-€19,850000;0;€0,000000;-€19,850000;BE;;
Verkoopprijs artikel(en), ontvangen van kopers en door bol.com door te storten;EAN;8720387440016;Among Us Knuffel |Plushie| Rood | Among Us Plushie | Among Us | Cadeau | Gift | Knuffel |10 cm;15-12-2020;1173614179;1;;€19,850000;-€19,850000;0;€0,000000;-€19,850000;BE;;
Verkoopprijs artikel(en), ontvangen van kopers en door bol.com door te storten;EAN;8720387440023;Among US Knuffel | Plushie |  Among Us Knuffel |Plushie| Blauw | Among Us Plushie | Among Us | Cadeau | Gift | Knuffel |10 cm | Crewmate Imposter  |10cm;16-12-2020;1174059459;1;;€19,850000;-€19,850000;0;€0,000000;-€19,850000;BE;;
Verkoopprijs artikel(en), ontvangen van kopers en door bol.com door te storten;EAN;8720387440023;Among US Knuffel | Plushie |  Among Us Knuffel |Plushie| Blauw | Among Us Plushie | Among Us | Cadeau | Gift | Knuffel |10 cm | Crewmate Imposter  |10cm;17-12-2020;1175117941;1;;€19,850000;-€19,850000;0;€0,000000;-€19,850000;BE;;
Verkoopprijs artikel(en), ontvangen van kopers en door bol.com door te storten;EAN;8720387440023;Among US Knuffel | Plushie |  Among Us Knuffel |Plushie| Blauw | Among Us Plushie | Among Us | Cadeau | Gift | Knuffel |10 cm | Crewmate Imposter  |10cm;17-12-2020;1175104455;1;;€19,850000;-€19,850000;0;€0,000000;-€19,850000;BE;;
Verkoopprijs artikel(en), ontvangen van kopers en door bol.com door te storten;EAN;8720387440023;Among US Knuffel | Plushie |  Among Us Knuffel |Plushie| Blauw | Among Us Plushie | Among Us | Cadeau | Gift | Knuffel |10 cm | Crewmate Imposter  |10cm;17-12-2020;1174961233;1;;€19,850000;-€19,850000;0;€0,000000;-€19,850000;BE;;
Verkoopprijs artikel(en), ontvangen van kopers en door bol.com door te storten;EAN;8720387440016;Among Us Knuffel |Plushie| Rood | Among Us Plushie | Among Us | Cadeau | Gift | Knuffel |10 cm;18-12-2020;1175225998;1;;€19,850000;-€19,850000;0;€0,000000;-€19,850000;BE;;
Verkoopprijs artikel(en), ontvangen van kopers en door bol.com door te storten;EAN;8720387440023;Among US Knuffel | Plushie |  Among Us Knuffel |Plushie| Blauw | Among Us Plushie | Among Us | Cadeau | Gift | Knuffel |10 cm | Crewmate Imposter  |10cm;18-12-2020;1175247126;1;;€19,850000;-€19,850000;0;€0,000000;-€19,850000;BE;;
Verkoopprijs artikel(en), ontvangen van kopers en door bol.com door te storten;EAN;8720387440023;Among US Knuffel | Plushie |  Among Us Knuffel |Plushie| Blauw | Among Us Plushie | Among Us | Cadeau | Gift | Knuffel |10 cm | Crewmate Imposter  |10cm;19-12-2020;1175447150;1;;€19,850000;-€19,850000;0;€0,000000;-€19,850000;BE;;
Verkoopprijs artikel(en), ontvangen van kopers en door bol.com door te storten;EAN;8720387440016;Among Us Knuffel |Plushie| Rood | Among Us Plushie | Among Us | Cadeau | Gift | Knuffel |10 cm;19-12-2020;1149179831;1;;€19,850000;-€19,850000;0;€0,000000;-€19,850000;NL;;
Verkoopprijs artikel(en), ontvangen van kopers en door bol.com door te storten;EAN;8720387440016;Among Us Knuffel |Plushie| Rood | Among Us Plushie | Among Us | Cadeau | Gift | Knuffel |10 cm;19-12-2020;1175794432;1;;€19,850000;-€19,850000;0;€0,000000;-€19,850000;NL;;
Verkoopprijs artikel(en), ontvangen van kopers en door bol.com door te storten;EAN;8720387440016;Among Us Knuffel |Plushie| Rood | Among Us Plushie | Among Us | Cadeau | Gift | Knuffel |10 cm;19-12-2020;1175601523;1;;€19,850000;-€19,850000;0;€0,000000;-€19,850000;BE;;
Verkoopprijs artikel(en), ontvangen van kopers en door bol.com door te storten;EAN;8720387440016;Among Us Knuffel |Plushie| Rood | Among Us Plushie | Among Us | Cadeau | Gift | Knuffel |10 cm;19-12-2020;1175584668;1;;€19,850000;-€19,850000;0;€0,000000;-€19,850000;NL;;
Verkoopprijs artikel(en), ontvangen van kopers en door bol.com door te storten;EAN;8720387440023;Among US Knuffel | Plushie |  Among Us Knuffel |Plushie| Blauw | Among Us Plushie | Among Us | Cadeau | Gift | Knuffel |10 cm | Crewmate Imposter  |10cm;19-12-2020;1175449104;1;;€19,850000;-€19,850000;0;€0,000000;-€19,850000;BE;;
Verkoopprijs artikel(en), ontvangen van kopers en door bol.com door te storten;EAN;8720387440016;Among Us Knuffel |Plushie| Rood | Among Us Plushie | Among Us | Cadeau | Gift | Knuffel |10 cm;20-12-2020;1176127892;1;;€19,850000;-€19,850000;0;€0,000000;-€19,850000;NL;;
Verkoopprijs artikel(en), ontvangen van kopers en door bol.com door te storten;EAN;8720387440023;Among US Knuffel | Plushie |  Among Us Knuffel |Plushie| Blauw | Among Us Plushie | Among Us | Cadeau | Gift | Knuffel |10 cm | Crewmate Imposter  |10cm;20-12-2020;1176237872;1;;€19,850000;-€19,850000;0;€0,000000;-€19,850000;NL;;
Verkoopprijs artikel(en), ontvangen van kopers en door bol.com door te storten;EAN;8720387440023;Among US Knuffel | Plushie |  Among Us Knuffel |Plushie| Blauw | Among Us Plushie | Among Us | Cadeau | Gift | Knuffel |10 cm | Crewmate Imposter  |10cm;20-12-2020;1176479622;1;;€19,850000;-€19,850000;0;€0,000000;-€19,850000;NL;;
Verkoopprijs artikel(en), ontvangen van kopers en door bol.com door te storten;EAN;8720387440023;Among US Knuffel | Plushie |  Among Us Knuffel |Plushie| Blauw | Among Us Plushie | Among Us | Cadeau | Gift | Knuffel |10 cm | Crewmate Imposter  |10cm;20-12-2020;1176269498;1;;€19,850000;-€19,850000;0;€0,000000;-€19,850000;BE;;
Verkoopprijs artikel(en), ontvangen van kopers en door bol.com door te storten;EAN;8720387440092;Among Us - Muts - Rood - Beanie - Unisex - One size;20-12-2020;1176618459;1;;€16,000000;-€16,000000;0;€0,000000;-€16,000000;BE;;
Verkoopprijs artikel(en), ontvangen van kopers en door bol.com door te storten;EAN;8720387440016;Among Us Knuffel |Plushie| Rood | Among Us Plushie | Among Us | Cadeau | Gift | Knuffel |10 cm;20-12-2020;1176201441;1;;€19,850000;-€19,850000;0;€0,000000;-€19,850000;NL;;
Verkoopprijs artikel(en), ontvangen van kopers en door bol.com door te storten;EAN;8720387440023;Among US Knuffel | Plushie |  Among Us Knuffel |Plushie| Blauw | Among Us Plushie | Among Us | Cadeau | Gift | Knuffel |10 cm | Crewmate Imposter  |10cm;20-12-2020;1176201441;1;;€19,850000;-€19,850000;0;€0,000000;-€19,850000;NL;;
Verkoopprijs artikel(en), ontvangen van kopers en door bol.com door te storten;EAN;8720387440023;Among US Knuffel | Plushie |  Among Us Knuffel |Plushie| Blauw | Among Us Plushie | Among Us | Cadeau | Gift | Knuffel |10 cm | Crewmate Imposter  |10cm;20-12-2020;1176171521;1;;€19,850000;-€19,850000;0;€0,000000;-€19,850000;BE;;
Verkoopprijs artikel(en), ontvangen van kopers en door bol.com door te storten;EAN;8720387440016;Among Us Knuffel |Plushie| Rood | Among Us Plushie | Among Us | Cadeau | Gift | Knuffel |10 cm;20-12-2020;1176171521;1;;€19,850000;-€19,850000;0;€0,000000;-€19,850000;BE;;
